time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss
155,1,13,2048,259.0,31.122044142857142,,,,,,,,,,,
107,2,38,4096,259.0,33.076247933333335,10,1.0107991695404053,0.2,-0.008829816379147815,17.77684722840786,0.0003,0.0004780292510986328,10.981746673583984,0.08427734375,0.0063687745,-2.852621877938509
90,3,67,6144,259.0,36.986549347826084,20,1.0204927921295166,0.2,-0.0027143853971210775,18.99776018410921,0.0003,0.36628472805023193,7.111294269561768,0.031591796875,0.003104758,-2.869751185923815
90,4,90,8192,259.0,40.911311000000005,30,1.0256545543670654,0.2,-0.007796814311586786,19.64369277358055,0.0003,0.6327238082885742,5.538005352020264,0.0890625,0.007722243,-2.8854156367480757
89,5,114,10240,259.0,44.82102658974359,40,1.040379285812378,0.2,-0.0008716300930245779,17.211658722162248,0.0003,0.6388975381851196,4.881420135498047,0.049560546875,0.003211509,-2.906341429799795
89,6,137,12288,259.0,47.400710170212754,50,1.0422070026397705,0.2,-0.002557801168586593,22.195747166872025,0.0003,0.6655786633491516,8.075785636901855,0.08662109375,0.008323807,-2.919227651506662
89,7,160,14336,259.0,49.53909827272727,60,1.0504361391067505,0.2,-0.00015878662379691376,16.983258855342864,0.0003,0.7270128726959229,6.812716007232666,0.09931640625,0.007564977,-2.9312849178910256
86,8,189,16384,259.0,51.58697895238095,70,1.0565788745880127,0.2,0.000439162521797698,23.276572185754777,0.0003,0.6470407247543335,18.07672882080078,0.02939453125,0.0044789272,-2.944159621745348
86,9,213,18432,259.0,52.62918821126761,80,1.0625079870224,0.2,0.001209182114689611,22.689629337191583,0.0003,0.6765183210372925,19.887014389038086,0.021728515625,0.0022768807,-2.9547706373035907
82,10,248,20480,259.0,53.31168135443037,90,1.0691183805465698,0.2,0.0011151488630275707,25.007673478126527,0.0003,0.5310662984848022,14.513418197631836,0.0162109375,0.0038856745,-2.964825215190649
79,11,283,22528,259.0,53.76764256976745,100,1.077878713607788,0.2,-0.0011188545176992193,24.187487852573394,0.0003,0.6870197057723999,14.76697826385498,0.038671875,0.0034998402,-2.9786800108850002
77,12,317,24576,259.0,54.52823406382979,110,1.0834152698516846,0.2,-0.0010979540995322168,19.4227814078331,0.0003,0.830213189125061,13.080581665039062,0.029541015625,0.0043380186,-2.9942635498940944
75,13,350,26624,259.0,55.72175038,120,1.0838844776153564,0.2,-0.0002516046653909143,17.66975805312395,0.0003,0.8612350821495056,6.922453880310059,0.04169921875,0.00440762,-2.9986822471022605
74,14,383,28672,259.0,58.43141187000001,130,1.0994631052017212,0.2,0.0006538637870107777,16.253011487424374,0.0003,0.8725889325141907,7.114977836608887,0.059326171875,0.0036528993,-3.0121647238731386
73,15,415,30720,259.0,59.83990682999999,140,1.1087617874145508,0.2,-4.993724724045023e-05,15.766693183779717,0.0003,0.8633103966712952,9.35031795501709,0.042626953125,0.004857622,-3.035654920339584
73,16,446,32768,259.0,60.95215987999999,150,1.123702049255371,0.2,-0.0013266595269669779,13.645986345410346,0.0003,0.8762193322181702,9.323312759399414,0.034716796875,0.0044447565,-3.060387025773525
72,17,477,34816,259.0,61.49783035999999,160,1.12507164478302,0.2,-0.0016098430176498368,14.506450365483762,0.0003,0.8848894238471985,4.072351932525635,0.03505859375,0.0049985806,-3.0728193119168283
72,18,510,36864,259.0,61.50346431999999,170,1.1415961980819702,0.2,-0.0021752337212092242,14.884403310716152,0.0003,0.8517069816589355,5.298632621765137,0.0716796875,0.006940461,-3.0888754546642305
71,19,544,38912,259.0,61.3881066,180,1.1486845016479492,0.2,0.002640092835645191,15.509925995767116,0.0003,0.8698602914810181,9.509151458740234,0.0685546875,0.007595267,-3.109100941568613
70,20,577,40960,259.0,61.19663384000001,190,1.160884141921997,0.2,0.0018812088121194393,16.153997373580932,0.0003,0.8638147115707397,7.241073131561279,0.104150390625,0.006543654,-3.1250210769474505
70,21,610,43008,259.0,60.76072182000001,200,1.175619125366211,0.2,0.0015196445951005445,14.892205448448658,0.0003,0.8884884119033813,7.143815040588379,0.07734375,0.0077683087,-3.151407626271248
69,22,644,45056,259.0,60.56527253000001,210,1.185160756111145,0.2,-0.0008294812330859713,15.699896083772183,0.0003,0.8610370755195618,5.09329080581665,0.096142578125,0.010557583,-3.171092054992914
69,23,678,47104,259.0,60.63667055999999,220,1.205423355102539,0.2,-0.002084049507539021,16.888409204781055,0.0003,0.862981915473938,6.391024589538574,0.12353515625,0.013451321,-3.193829148262739
69,24,711,49152,259.0,60.66005731999999,230,1.2231981754302979,0.2,0.003026652138942154,16.230473360419275,0.0003,0.8767823576927185,4.078287601470947,0.10302734375,0.017846802,-3.229260025918484
68,25,746,51200,259.0,60.553569780000004,240,1.2379753589630127,0.2,0.001189407054334879,17.986918199062348,0.0003,0.8630173802375793,4.617423057556152,0.08291015625,0.008241992,-3.256326350569725
68,26,780,53248,259.0,60.54858211,250,1.2509522438049316,0.2,-6.212449588929302e-05,15.8432100340724,0.0003,0.8755435943603516,9.172367095947266,0.097900390625,0.01225912,-3.2757454812526703
67,27,813,55296,259.0,60.347736860000005,260,1.2811729907989502,0.2,0.0020997846077079885,15.852530843019485,0.0003,0.8737410306930542,5.144405364990234,0.10849609375,0.010328682,-3.311294434964657
67,28,846,57344,259.0,60.56949563,270,1.2847933769226074,0.2,0.00014187335327733308,14.40206927061081,0.0003,0.8795111179351807,7.3044633865356445,0.084326171875,0.015607482,-3.3313640907406805
67,29,879,59392,259.0,60.47131049000001,280,1.2953845262527466,0.2,5.773026641691104e-05,15.248183280229568,0.0003,0.8644943237304688,5.15770959854126,0.06005859375,0.0052629877,-3.3515777379274367
67,30,913,61440,259.0,60.09869738999999,290,1.307350516319275,0.2,-0.0004568405347527005,15.386266015470028,0.0003,0.8697734475135803,7.105624198913574,0.07333984375,0.0069006663,-3.3628463871777057
67,31,946,63488,259.0,60.11570753,300,1.3208321332931519,0.2,-0.0008270409198303241,15.349078072607517,0.0003,0.8730480670928955,6.159555435180664,0.059228515625,0.0055088107,-3.3856540106236936
66,32,979,65536,259.0,59.933956859999995,310,1.3364983797073364,0.2,-0.00561356364923995,15.089315946400166,0.0003,0.8793023824691772,6.453634262084961,0.0650390625,0.006927695,-3.4070155158638955
66,33,1011,67584,259.0,60.019343899999996,320,1.3494043350219727,0.2,-0.0010348999901907518,14.807409477233886,0.0003,0.8899398446083069,9.067917823791504,0.072900390625,0.0038144593,-3.4271130450069904
66,34,1042,69632,259.0,60.14958646,330,1.3633956909179688,0.2,0.001033968936826568,17.589294841885568,0.0003,0.8826364278793335,10.42124080657959,0.075146484375,0.007541815,-3.445829904824495
66,35,1074,71680,259.0,60.13194093999999,340,1.377194881439209,0.2,0.0036244278548110743,12.668503601849078,0.0003,0.8679330348968506,7.285447120666504,0.058154296875,0.00805292,-3.469749591499567
66,36,1107,73728,259.0,60.00386834999999,350,1.3959870338439941,0.2,-5.868970110896043e-05,15.526551476120948,0.0003,0.8779609799385071,8.897871971130371,0.046923828125,0.0053546615,-3.4913470685482024
66,37,1140,75776,259.0,59.58881923,360,1.4109385013580322,0.2,0.001060488099756185,14.761310532689095,0.0003,0.8471016883850098,8.865238189697266,0.046435546875,0.0053298995,-3.5146556802093984
66,38,1174,77824,259.0,59.338760109999996,370,1.4208396673202515,0.2,-0.0004585020877129864,13.850647304952144,0.0003,0.8690457940101624,8.995851516723633,0.069140625,0.0049525993,-3.532671361416578
66,39,1206,79872,259.0,59.21547345000001,380,1.4301502704620361,0.2,0.002033913649211172,14.223275370895863,0.0003,0.8777338862419128,7.4454145431518555,0.07783203125,0.006251788,-3.544778771698475
66,40,1238,81920,259.0,59.04436519,390,1.4437470436096191,0.2,-0.005384655526722781,12.978716057538985,0.0003,0.8628029823303223,6.607063293457031,0.125830078125,0.011852498,-3.5642363734543325
